LAC  ,CELLID   
54033,12412
54033,12411
54033,12491
25357,43098
21678,12131
21678,12137
54033,10111
21276,12322
21276,12328
25353,38383
21276,44859
21678,34057
21276,16633
21276,16632
21437,37109
21276,6481
21437,25038
21437,34909
54033,18122
54033,16621
54033,16312
54033,15431
54033,18491
54033,18492
54033,18501
54033,18502
54033,18503
54033,18413
54033,18423
21747,29042
21747,9042
21747,36057
21747,19043
21747,19049
21747,34703
21747,34709
21747,36431
54033,6102
54033,6371
54033,7051
54033,7013
21524,24502
21524,36132
21524,36138
21524,19023
54033,13133
54033,16293
54033,16291
21747,19041
21747,18757
21747,18758
54033,7091
21749,25051
21437,14342
21437,25898
21437,7121
21437,18901
21437,24649
21437,16559
54033,15192
54033,18762
54033,17301
54033,26531
54033,17433
21747,34707
21747,34701
21747,20133
21751,133
21747,133
54033,7011
54033,6433
21747,16087
25357,36469
25357,36463
54033,7092
54033,6173
54033,6953
21747,36058
21747,7141
21747,7147
21747,36439
54033,6171
21747,19048
25357,36461
25357,36467
54033,6951
21747,7148
21276,17317
54033,17543
21747,7142
25357,43108
25357,19823
25357,19829
54033,6333
21276,6482
21276,16569
21276,16561
54033,15432
54033,15333
54033,12063
25357,44268
21678,36343
21749,2912
21678,6361
21678,26361
25344,48207
25344,48208
25344,13773
54033,10092
54033,10093
54033,10091
21678,34052
21678,34058
21678,36247
21678,6363
21678,26363
54033,12492
54033,7301
54033,6331
54033,7052
25354,6502
25354,6508
21678,7458
21678,7452
54046,12752
54033,13081
54033,10852
21678,24517
21678,36249
21678,13633
54033,12581
54033,7303
54033,10163
54033,10161
21276,11347
21276,8079
21276,8073
54033,7461
54033,7464
54033,18831
54033,13713
21747,34702
54033,7012
21678,12138
21678,12132
21678,13631
54033,10112
21276,44857
21747,25139
54033,6172
21437,45721
21437,34928
21437,34929
21437,15024
21437,45722
21437,15029
21437,45723
21437,16508
21437,37206
21437,37168
21437,37167
21437,37177
21437,37178
21437,14281
21437,14287
21437,18747
54033,18442
54033,18532
54033,18533
54033,18542
54033,16021
54033,15804
54033,15803
21276,9562
21276,44858
54033,7722
54033,18832
21276,11348
21529,19789
21529,19783
54033,7462
54033,15801
21437,34927
54033,13712
21437,25037
21437,34904
21437,34907
21437,34908
21437,37202
21276,16809
21437,14284
54033,18412
54033,18422
54033,17513
21529,45011
21437,18741
54033,15301
25344,39952
21678,45756
21678,9581
21678,9587
54033,11983
54033,11982
54033,11981
54033,12501
54033,12502
54033,12503
54033,12511
54033,12512
54033,10761
54033,12521
54033,12522
54033,12523
25344,7211
25344,36663
25344,36917
54033,13251
54033,7043
21524,19021
21524,19027
25344,7212
21748,871
21748,20871
54033,13131
54033,13252
54033,7591
54033,7592
54033,6391
54033,6394
54033,6395
21678,26362
21678,6362
21747,36438
21747,39599
54033,16292
54033,8963
21437,18902
21437,16558
54033,26532
54033,17432
25344,873
25344,20873
25344,36913
54033,13132
54033,6393
21276,8071
21276,8077
21529,19287
21276,11479
21276,11473
54033,13711
54033,17481
54033,6491
54033,6492
54033,6493
54033,17273
54033,12062
21678,36342
21678,36348
21678,34083
54033,12562
25353,6601
25353,6602
25353,15763
54252,27182
54252,20163
21678,24518
21678,34082
21678,17673
54033,12561
54033,10293
21529,19781
21529,19787
54033,19211
54033,19212
54033,16043
21678,36248
21678,9583
54033,7302
54033,10162
54033,10763
21747,132
21751,132
21747,25137
21747,13701
54033,6432
54033,7821
54033,6061
54033,8081
21678,17675
21678,17671
21678,17677
21678,17676
21678,17674
54033,10291
54252,20162
21678,17661
21276,17318
21276,9591
21276,14353
54033,17541
54033,17531
54033,15713
25353,15762
25344,39951
25344,348
25344,342
25344,45302
25344,36793
54033,14671
54033,11082
54033,11083
21276,7381
21276,27381
54033,17533
54033,15011
54033,17542
21747,44197
21678,17662
21678,17667
21529,19782
54033,10281
54033,11881
54033,11882
54033,11883
25344,36667
21748,45081
25344,45301
25344,16043
54033,7042
54033,17033
21678,45753
25344,13772
25344,13778
25344,13043
25344,36794
25344,46169
54033,6423
21678,36347
54033,12061
54033,14672
25357,19828
25357,19822
25357,44259
25344,36661
25344,36669
25357,44278
21748,6333
21748,18529
21748,15251
21748,15249
54033,7041
54033,7511
